#  Energy [eV]     Im_eps_xx
 
      5.34704     0.81026063E+01
      5.36064     0.79703932E+01
      5.37425     0.78400328E+01
      5.38786     0.77174556E+01
      5.40146     0.76039059E+01
      5.41507     0.74976173E+01
      5.42867     0.73959995E+01
      5.44228     0.73064349E+01
      5.45588     0.72238723E+01
      5.46949     0.71483558E+01
      5.48310     0.70806114E+01
      5.49670     0.70200852E+01
      5.51031     0.69673946E+01
      5.52391     0.69226495E+01
      5.53752     0.68811839E+01
      5.55112     0.68554277E+01
      5.56473     0.68465049E+01
      5.57834     0.68628538E+01
      5.59194     0.68808939E+01
      5.60555     0.67820499E+01
      5.61915     0.67531225E+01
      5.63276     0.67282433E+01
      5.64636     0.66997993E+01
      5.65997     0.66621929E+01
      5.67358     0.66194764E+01
      5.68718     0.65740676E+01
      5.70079     0.65209647E+01
      5.71439     0.64587116E+01
      5.72800     0.63889364E+01
      5.74160     0.63388543E+01
      5.75521     0.62951274E+01
      5.76882     0.62475211E+01
      5.78242     0.61898764E+01
      5.79603     0.61488846E+01
      5.80963     0.61128083E+01
      5.82324     0.60861317E+01
      5.83684     0.60486656E+01
      5.85045     0.60138637E+01
      5.86406     0.59829775E+01
      5.87766     0.61023356E+01
      5.89127     0.59046262E+01
      5.90487     0.58434208E+01
      5.91848     0.62686243E+01
      5.93208     0.56114116E+01
      5.94569     0.54195463E+01
      5.95930     0.52872761E+01
      5.97290     0.51846899E+01
      5.98651     0.50988640E+01
      6.00011     0.50591794E+01
      6.01372     0.49949434E+01
      6.02732     0.49374201E+01
      6.04093     0.48714598E+01
      6.05454     0.48040689E+01
      6.06814     0.47349324E+01
      6.08175     0.46664960E+01
      6.09535     0.45957783E+01
      6.10896     0.45242826E+01
      6.12256     0.44596772E+01
      6.13617     0.44006055E+01
      6.14978     0.43471063E+01
      6.16338     0.42980705E+01
      6.17699     0.42503947E+01
      6.19059     0.42035001E+01
      6.20420     0.41589462E+01
      6.21780     0.41205693E+01
      6.23141     0.40864575E+01
      6.24502     0.40499249E+01
      6.25862     0.40109072E+01
      6.27223     0.39770225E+01
      6.28583     0.39465694E+01
      6.29944     0.39134344E+01
      6.31304     0.38801384E+01
      6.32665     0.38492831E+01
      6.34026     0.38201966E+01
      6.35386     0.37921167E+01
      6.36747     0.37649052E+01
      6.38107     0.37391894E+01
      6.39468     0.37189260E+01
      6.40828     0.37009049E+01
      6.42189     0.36858276E+01
      6.43549     0.36716347E+01
      6.44910     0.36563361E+01
      6.46271     0.36392383E+01
      6.47631     0.36225091E+01
      6.48992     0.36051551E+01
      6.50352     0.35859597E+01
      6.51713     0.35653220E+01
      6.53073     0.35464236E+01
      6.54434     0.35289965E+01
      6.55795     0.34936240E+01
      6.57155     0.34479996E+01
      6.58516     0.34023961E+01
      6.59876     0.33633682E+01
      6.61237     0.33275465E+01
      6.62597     0.32981395E+01
      6.63958     0.32692982E+01
      6.65319     0.32375069E+01
      6.66679     0.32122806E+01
      6.68040     0.31900137E+01
      6.69400     0.31766136E+01
      6.70761     0.31659408E+01
      6.72121     0.31554656E+01
      6.73482     0.31541671E+01
      6.74843     0.31668329E+01
      6.76203     0.31794847E+01
      6.77564     0.31677018E+01
      6.78924     0.31281768E+01
      6.80285     0.31170414E+01
      6.81645     0.31157777E+01
      6.83006     0.31185247E+01
      6.84367     0.31243006E+01
      6.85727     0.31379669E+01
      6.87088     0.31534217E+01
      6.88448     0.31584739E+01
      6.89809     0.31645954E+01
      6.91169     0.31730258E+01
      6.92530     0.31726869E+01
      6.93891     0.31586209E+01
      6.95251     0.31384385E+01
      6.96612     0.31121530E+01
      6.97972     0.30915021E+01
      6.99333     0.30757815E+01
      7.00693     0.30590786E+01
      7.02054     0.30442201E+01
      7.03415     0.30319740E+01
      7.04775     0.30261058E+01
      7.06136     0.30277882E+01
      7.07496     0.30336560E+01
      7.08857     0.30475797E+01
      7.10217     0.30564448E+01
      7.11578     0.30551999E+01
      7.12939     0.30570309E+01
      7.14299     0.30621001E+01
      7.15660     0.30692457E+01
      7.17020     0.30738880E+01
      7.18381     0.30763184E+01
      7.19741     0.30602962E+01
      7.21102     0.30190348E+01
      7.22463     0.29642288E+01
      7.23823     0.29028346E+01
      7.25184     0.28403150E+01
      7.26544     0.27855287E+01
      7.27905     0.27566536E+01
      7.29265     0.27334887E+01
      7.30626     0.27051355E+01
      7.31987     0.26828663E+01
      7.33347     0.26625259E+01
      7.34708     0.26397204E+01
      7.36068     0.26122577E+01
      7.37429     0.25878375E+01
      7.38789     0.25690617E+01
      7.40150     0.25635859E+01
      7.41511     0.25525833E+01
      7.42871     0.25328058E+01
      7.44232     0.25051433E+01
      7.45592     0.24898612E+01
      7.46953     0.24637394E+01
      7.48313     0.24531684E+01
      7.49674     0.24391055E+01
      7.51035     0.24247735E+01
      7.52395     0.23973509E+01
      7.53756     0.23582386E+01
      7.55116     0.23084464E+01
      7.56477     0.22780495E+01
      7.57837     0.22526139E+01
      7.59198     0.22359835E+01
      7.60558     0.22257432E+01
      7.61919     0.22015071E+01
      7.63280     0.21820191E+01
      7.64640     0.21798790E+01
      7.66001     0.21858209E+01
      7.67361     0.21897391E+01
      7.68722     0.21857412E+01
      7.70082     0.21743651E+01
      7.71443     0.21591745E+01
      7.72804     0.21527116E+01
      7.74164     0.21365741E+01
      7.75525     0.21177967E+01
      7.76885     0.20960946E+01
      7.78246     0.20858876E+01
      7.79606     0.20675083E+01
      7.80967     0.20559292E+01
      7.82328     0.20389967E+01
      7.83688     0.20238856E+01
      7.85049     0.20039959E+01
      7.86409     0.19942515E+01
      7.87770     0.19824848E+01
      7.89130     0.19700465E+01
      7.90491     0.19566241E+01
      7.91852     0.19463182E+01
      7.93212     0.19402051E+01
      7.94573     0.19321772E+01
      7.95933     0.19177041E+01
      7.97294     0.19046255E+01
      7.98654     0.18903629E+01
      8.00015     0.18763094E+01
      8.01376     0.18638664E+01
      8.02736     0.18529543E+01
      8.04097     0.18430378E+01
      8.05457     0.18338293E+01
      8.06818     0.18244732E+01
      8.08178     0.18194296E+01
      8.09539     0.18174784E+01
      8.10900     0.18160844E+01
      8.12260     0.18157720E+01
      8.13621     0.18160974E+01
      8.14981     0.18139962E+01
      8.16342     0.18231587E+01
      8.17702     0.18095113E+01
      8.19063     0.18029103E+01
      8.20424     0.17966700E+01
      8.21784     0.17895443E+01
      8.23145     0.17839268E+01
      8.24505     0.17785476E+01
      8.25866     0.17714724E+01
      8.27226     0.17626010E+01
      8.28587     0.17521101E+01
      8.29948     0.17415781E+01
      8.31308     0.17242814E+01
      8.32669     0.17047371E+01
      8.34029     0.16790475E+01
      8.35390     0.16408981E+01
      8.36750     0.16074201E+01
      8.38111     0.15821011E+01
      8.39472     0.15563952E+01
      8.40832     0.15373780E+01
      8.42193     0.15209404E+01
      8.43553     0.15055112E+01
      8.44914     0.14904359E+01
      8.46274     0.14903066E+01
      8.47635     0.14735888E+01
      8.48996     0.14627789E+01
      8.50356     0.14461087E+01
      8.51717     0.14306713E+01
      8.53077     0.14161806E+01
      8.54438     0.14043871E+01
      8.55798     0.13949250E+01
      8.57159     0.13868027E+01
      8.58520     0.13812861E+01
      8.59880     0.13762235E+01
      8.61241     0.13631402E+01
      8.62601     0.13475565E+01
      8.63962     0.13322602E+01
      8.65322     0.13238414E+01
      8.66683     0.13205101E+01
      8.68044     0.13180315E+01
      8.69404     0.13157725E+01
      8.70765     0.13107792E+01
      8.72125     0.13129937E+01
      8.73486     0.12879207E+01
      8.74846     0.12769161E+01
      8.76207     0.12685816E+01
      8.77567     0.12595093E+01
      8.78928     0.12505564E+01
      8.80289     0.12447182E+01
      8.81649     0.12370907E+01
      8.83010     0.12300425E+01
      8.84370     0.12218232E+01
      8.85731     0.12140817E+01
      8.87091     0.12063791E+01
      8.88452     0.11994620E+01
      8.89813     0.11959986E+01
      8.91173     0.11936876E+01
      8.92534     0.11842734E+01
      8.93894     0.11802323E+01
      8.95255     0.11788397E+01
      8.96615     0.11714313E+01
      8.97976     0.11662084E+01
      8.99337     0.11638199E+01
      9.00697     0.11560773E+01
      9.02058     0.11442663E+01
      9.03418     0.11368071E+01
      9.04779     0.11267728E+01
      9.06139     0.11197840E+01
      9.07500     0.11143583E+01
      9.08861     0.11088670E+01
      9.10221     0.11021649E+01
      9.11582     0.10946142E+01
      9.12942     0.10864553E+01
      9.14303     0.10775815E+01
      9.15663     0.10722954E+01
      9.17024     0.10624175E+01
      9.18385     0.10529575E+01
      9.19745     0.10437409E+01
      9.21106     0.10349464E+01
      9.22466     0.10287701E+01
      9.23827     0.10244876E+01
      9.25187     0.10224284E+01
      9.26548     0.10228224E+01
      9.27909     0.10216286E+01
      9.29269     0.10180423E+01
      9.30630     0.10121738E+01
      9.31990     0.10048532E+01
      9.33351     0.99776965E+00
      9.34711     0.99408720E+00
      9.36072     0.99557014E+00
      9.37433     0.99342591E+00
      9.38793     0.98785945E+00
      9.40154     0.98172202E+00
      9.41514     0.97710152E+00
      9.42875     0.97282336E+00
      9.44235     0.96948219E+00
      9.45596     0.96629613E+00
      9.46957     0.95689130E+00
      9.48317     0.94809294E+00
      9.49678     0.94052886E+00
      9.51038     0.93361804E+00
      9.52399     0.92626315E+00
      9.53759     0.91898478E+00
      9.55120     0.91234196E+00
      9.56481     0.90587905E+00
      9.57841     0.89948742E+00
      9.59202     0.89305645E+00
      9.60562     0.88683549E+00
      9.61923     0.88126757E+00
      9.63283     0.87723335E+00
      9.64644     0.87294660E+00
      9.66005     0.86793656E+00
      9.67365     0.86267458E+00
      9.68726     0.85736511E+00
      9.70086     0.85218365E+00
      9.71447     0.84792458E+00
      9.72807     0.84347720E+00
      9.74168     0.83872184E+00
      9.75529     0.83434247E+00
      9.76889     0.83031066E+00
      9.78250     0.82646218E+00
      9.79610     0.82295518E+00
      9.80971     0.82033507E+00
      9.82331     0.81877524E+00
      9.83692     0.81921364E+00
      9.85053     0.81933764E+00
      9.86413     0.82169850E+00
      9.87774     0.80991033E+00
      9.89134     0.80634276E+00
      9.90495     0.82781190E+00
      9.91855     0.80091242E+00
      9.93216     0.79525369E+00
      9.94576     0.78956109E+00
      9.95937     0.78426603E+00
      9.97298     0.78006681E+00
      9.98658     0.77236219E+00
     10.00019     0.76675980E+00
     10.01379     0.76137750E+00
     10.02740     0.75790077E+00
     10.04100     0.75490103E+00
     10.05461     0.75248037E+00
     10.06822     0.75049359E+00
     10.08182     0.74879405E+00
     10.09543     0.74747371E+00
     10.10903     0.74827046E+00
     10.12264     0.74822288E+00
     10.13624     0.74466508E+00
     10.14985     0.74543599E+00
     10.16346     0.75140693E+00
     10.17706     0.74270016E+00
     10.19067     0.74353210E+00
     10.20427     0.73691552E+00
     10.21788     0.73486570E+00
     10.23148     0.72861318E+00
     10.24509     0.72138337E+00
     10.25870     0.70825728E+00
     10.27230     0.70511579E+00
     10.28591     0.70353909E+00
     10.29951     0.70279409E+00
     10.31312     0.70300658E+00
     10.32672     0.72003237E+00
     10.34033     0.70178015E+00
     10.35394     0.69984474E+00
     10.36754     0.69260643E+00
     10.38115     0.68477159E+00
     10.39475     0.67739528E+00
     10.40836     0.67023736E+00
     10.42196     0.66331255E+00
     10.43557     0.65686438E+00
     10.44918     0.65039196E+00
     10.46278     0.64377899E+00
     10.47639     0.63765840E+00
     10.48999     0.63208688E+00
     10.50360     0.62727036E+00
     10.51720     0.62274671E+00
     10.53081     0.61851200E+00
     10.54442     0.61458576E+00
     10.55802     0.61068965E+00
     10.57163     0.60720580E+00
     10.58523     0.60398385E+00
     10.59884     0.60315758E+00
     10.61244     0.60252745E+00
     10.62605     0.60167225E+00
     10.63966     0.60008630E+00
