# Energy [eV]  Re_eps_xx  Im_eps_xx
  12.204310  -0.936211E+00  0.395764E+00
  12.231520  -0.927369E+00  0.392667E+00
  12.258730  -0.918743E+00  0.389491E+00
  12.285940  -0.910205E+00  0.386220E+00
  12.313160  -0.901662E+00  0.382898E+00
  12.340370  -0.893057E+00  0.379581E+00
  12.367580  -0.884327E+00  0.376347E+00
  12.394790  -0.875449E+00  0.373334E+00
  12.422000  -0.866494E+00  0.370693E+00
  12.449210  -0.857630E+00  0.368510E+00
  12.476420  -0.849032E+00  0.366754E+00
  12.503640  -0.840806E+00  0.365322E+00
  12.530850  -0.832990E+00  0.364106E+00
  12.558060  -0.825578E+00  0.363039E+00
  12.585270  -0.818574E+00  0.362090E+00
  12.612480  -0.812019E+00  0.361229E+00
  12.639690  -0.805981E+00  0.360379E+00
  12.666900  -0.800485E+00  0.359387E+00
  12.694120  -0.795457E+00  0.358085E+00
  12.721330  -0.790737E+00  0.356376E+00
  12.748540  -0.786156E+00  0.354258E+00
  12.775750  -0.781580E+00  0.351791E+00
  12.802960  -0.776915E+00  0.349068E+00
  12.830170  -0.772110E+00  0.346216E+00
  12.857380  -0.767182E+00  0.343369E+00
  12.884600  -0.762211E+00  0.340621E+00
  12.911810  -0.757300E+00  0.338006E+00
  12.939020  -0.752526E+00  0.335508E+00
  12.966230  -0.747937E+00  0.333100E+00
  12.993440  -0.743559E+00  0.330757E+00
  13.020650  -0.739417E+00  0.328472E+00
  13.047860  -0.735554E+00  0.326247E+00
  13.075080  -0.732037E+00  0.324066E+00
  13.102290  -0.728950E+00  0.321875E+00
  13.129500  -0.726356E+00  0.319572E+00
  13.156710  -0.724272E+00  0.317021E+00
  13.183920  -0.722641E+00  0.314078E+00
  13.211130  -0.721336E+00  0.310662E+00
  13.238340  -0.720233E+00  0.306787E+00
  13.265560  -0.719274E+00  0.302530E+00
  13.292770  -0.718491E+00  0.297968E+00
  13.319980  -0.717972E+00  0.293123E+00
  13.347190  -0.717827E+00  0.287961E+00
  13.374400  -0.718178E+00  0.282385E+00
  13.401610  -0.719141E+00  0.276226E+00
  13.428820  -0.720808E+00  0.269234E+00
  13.456030  -0.723226E+00  0.261057E+00
  13.483250  -0.726354E+00  0.251201E+00
  13.510460  -0.729935E+00  0.239007E+00
  13.537670  -0.733282E+00  0.223681E+00
  13.564880  -0.734983E+00  0.204612E+00
  13.564880  -0.734983E+00  0.204612E+00
  13.564880  -0.734983E+00  0.204612E+00
  13.564880  -0.734983E+00  0.204612E+00
  13.564880  -0.734983E+00  0.204612E+00
  13.564880  -0.734983E+00  0.204612E+00
  13.564880  -0.734983E+00  0.204612E+00
  13.564880  -0.734983E+00  0.204612E+00
  13.564880  -0.734983E+00  0.204612E+00
  13.564880  -0.734983E+00  0.204612E+00
  13.564880  -0.734983E+00  0.204612E+00
  13.564880  -0.734983E+00  0.204612E+00
  13.564880  -0.734983E+00  0.204612E+00
  13.564880  -0.734983E+00  0.204612E+00
  13.564880  -0.734983E+00  0.204612E+00
  13.564880  -0.734983E+00  0.204612E+00
