# Energy [eV]  ref_ind_xx  extinct_xx
  11.251910  0.247775E+00  0.114182E+01
  11.279120  0.246824E+00  0.113747E+01
  11.306330  0.245887E+00  0.113305E+01
  11.333550  0.245013E+00  0.112861E+01
  11.360760  0.244223E+00  0.112421E+01
  11.387970  0.243496E+00  0.111990E+01
  11.415180  0.242784E+00  0.111572E+01
  11.442390  0.242041E+00  0.111166E+01
  11.469600  0.241245E+00  0.110771E+01
  11.496810  0.240388E+00  0.110386E+01
  11.524030  0.239449E+00  0.110013E+01
  11.551240  0.238365E+00  0.109650E+01
  11.578450  0.237091E+00  0.109292E+01
  11.605660  0.235652E+00  0.108930E+01
  11.632870  0.234100E+00  0.108562E+01
  11.660080  0.232452E+00  0.108191E+01
  11.687290  0.230697E+00  0.107815E+01
  11.714510  0.228835E+00  0.107432E+01
  11.741720  0.226880E+00  0.107039E+01
  11.768930  0.224854E+00  0.106636E+01
  11.796140  0.222774E+00  0.106222E+01
  11.823350  0.220646E+00  0.105796E+01
  11.850560  0.218477E+00  0.105356E+01
  11.877770  0.216291E+00  0.104900E+01
  11.904990  0.214133E+00  0.104425E+01
  11.932200  0.212058E+00  0.103932E+01
  11.959410  0.210115E+00  0.103424E+01
  11.986620  0.208340E+00  0.102903E+01
  12.013830  0.206750E+00  0.102375E+01
  12.041040  0.205356E+00  0.101844E+01
  12.068250  0.204156E+00  0.101315E+01
  12.095470  0.203138E+00  0.100790E+01
  12.122680  0.202277E+00  0.100276E+01
  12.149890  0.201536E+00  0.997727E+00
  12.177100  0.200882E+00  0.992834E+00
  12.204310  0.200267E+00  0.988088E+00
  12.231520  0.199633E+00  0.983474E+00
  12.258730  0.198935E+00  0.978937E+00
  12.285940  0.198181E+00  0.974413E+00
  12.313160  0.197398E+00  0.969860E+00
  12.340370  0.196622E+00  0.965255E+00
  12.367580  0.195897E+00  0.960574E+00
  12.394790  0.195295E+00  0.955818E+00
  12.422000  0.194888E+00  0.951039E+00
  12.449210  0.194705E+00  0.946330E+00
  12.476420  0.194714E+00  0.941778E+00
  12.503640  0.194853E+00  0.937429E+00
  12.530850  0.195065E+00  0.933296E+00
  12.558060  0.195315E+00  0.929369E+00
  12.585270  0.195587E+00  0.925650E+00
  12.612480  0.195860E+00  0.922161E+00
  12.639690  0.196086E+00  0.918929E+00
  12.666900  0.196182E+00  0.915955E+00
  12.694120  0.196065E+00  0.913180E+00
  12.721330  0.195700E+00  0.910514E+00
  12.748540  0.195105E+00  0.907866E+00
  12.775750  0.194322E+00  0.905175E+00
  12.802960  0.193411E+00  0.902399E+00
  12.830170  0.192444E+00  0.899525E+00
  12.857380  0.191489E+00  0.896577E+00
  12.884600  0.190588E+00  0.893608E+00
  12.911810  0.189747E+00  0.890676E+00
  12.939020  0.188950E+00  0.887822E+00
  12.966230  0.188177E+00  0.885069E+00
  12.993440  0.187412E+00  0.882430E+00
  13.020650  0.186650E+00  0.879917E+00
  13.047860  0.185884E+00  0.877557E+00
  13.075080  0.185099E+00  0.875385E+00
  13.102290  0.184256E+00  0.873442E+00
  13.129500  0.183293E+00  0.871752E+00
  13.156710  0.182131E+00  0.870312E+00
  13.183920  0.180697E+00  0.869075E+00
  13.211130  0.178960E+00  0.867965E+00
  13.238340  0.176942E+00  0.866915E+00
  13.265560  0.174690E+00  0.865904E+00
  13.292770  0.172243E+00  0.864962E+00
  13.319980  0.169604E+00  0.864140E+00
  13.347190  0.166741E+00  0.863498E+00
  13.374400  0.163588E+00  0.863099E+00
  13.401610  0.160040E+00  0.862991E+00
  13.428820  0.155950E+00  0.863208E+00
  13.456030  0.151118E+00  0.863749E+00
  13.483250  0.145277E+00  0.864557E+00
  13.510460  0.138082E+00  0.865449E+00
  13.537670  0.129145E+00  0.866002E+00
  13.564880  0.118215E+00  0.865424E+00
